date,open,high,low,close,volume,amount
2021-02-07,860.0,892.0,830.0,877.0,133101.0,115823723.0
2021-02-08,877.0,894.0,855.0,856.0,98429.0,85132819.0
2021-02-09,854.0,860.0,832.0,850.0,60981.0,51543133.0
2021-02-10,850.0,854.0,837.0,841.0,40438.0,34136111.0
2021-02-11,835.0,842.0,822.0,828.0,58676.0,48849504.0
2021-02-14,850.0,910.0,840.0,860.0,48436.0,41917198.0
2021-02-15,903.0,903.0,860.0,871.0,45459.0,39468343.0
2021-02-16,914.0,914.0,860.0,869.0,33621.0,29250746.0
2021-02-17,869.0,870.0,838.0,852.0,44080.0,37327208.0
2021-02-18,860.0,860.0,835.0,841.0,35463.0,29812572.0
2021-02-21,799.0,841.0,799.0,829.0,38718.0,32170478.0
2021-02-22,830.0,832.0,820.0,823.0,25110.0,20647532.0
2021-02-23,823.0,823.0,805.0,806.0,11239.0,9067981.0
2021-02-24,800.0,844.0,800.0,819.0,24746.0,20372166.0
2021-02-25,810.0,830.0,806.0,809.0,31374.0,25471794.0
2021-02-28,809.0,810.0,785.0,788.0,37966.0,30122499.0
2021-03-01,781.0,811.0,763.0,791.0,25488.0,20081333.0
2021-03-02,791.0,800.0,761.0,772.0,24210.0,18888155.0
2021-03-03,762.0,767.0,745.0,748.0,27365.0,20537514.0
2021-03-04,742.0,775.0,742.0,770.0,27492.0,21020576.0
2021-03-07,770.0,778.0,748.0,761.0,16817.0,12836493.0
2021-03-09,750.0,760.0,745.0,752.0,19698.0,14784048.0
2021-03-10,741.0,750.0,741.0,745.0,12755.0,9481685.0
2021-03-14,740.0,740.0,725.0,732.0,24868.0,18199762.0
2021-03-15,697.0,732.0,697.0,717.0,18931.0,13618370.0
2021-03-16,717.0,736.0,710.0,717.0,16119.0,11574164.0
2021-03-17,717.0,725.0,710.0,724.0,18347.0,13169199.0
2021-03-18,725.0,744.0,717.0,744.0,18485.0,13599335.0
2021-03-21,740.0,772.0,735.0,772.0,24819.0,18813286.0
2021-03-22,772.0,795.0,752.0,755.0,20854.0,15898123.0
2021-03-23,755.0,755.0,740.0,749.0,15760.0,11787500.0
2021-03-24,752.0,760.0,737.0,758.0,20644.0,15510478.0
2021-03-25,721.0,790.0,721.0,759.0,23205.0,17613071.0
2021-03-29,759.0,764.0,747.0,755.0,15859.0,11928953.0
2021-03-30,755.0,820.0,755.0,820.0,56791.0,44881786.0
2021-03-31,850.0,855.0,833.0,837.0,36033.0,30243760.0
2021-04-01,860.0,860.0,815.0,822.0,32296.0,26658497.0
2021-04-04,863.0,863.0,814.0,841.0,53045.0,44464415.0
2021-04-05,850.0,850.0,821.0,825.0,25763.0,21395246.0
2021-04-06,840.0,840.0,808.0,809.0,28130.0,22844692.0
2021-04-07,809.0,810.0,800.0,802.0,18604.0,14927321.0
2021-04-08,842.0,842.0,795.0,801.0,18015.0,14440205.0
2021-04-12,841.0,841.0,785.0,801.0,34171.0,27264975.0
2021-04-13,800.0,804.0,788.0,800.0,15193.0,12118173.0
2021-04-15,840.0,840.0,795.0,797.0,22334.0,17848328.0
2021-04-18,797.0,798.0,786.0,786.0,18328.0,14489033.0
2021-04-19,800.0,832.0,775.0,779.0,14968.0,11708243.0
2021-04-20,779.0,794.0,769.0,777.0,15616.0,12176764.0
2021-04-21,777.0,780.0,771.0,771.0,15909.0,12323868.0
2021-04-22,769.0,793.0,761.0,780.0,22450.0,17515044.0
2021-04-25,780.0,794.0,750.0,756.0,24975.0,18961739.0
2021-04-26,750.0,753.0,735.0,736.0,28888.0,21380214.0
2021-04-27,725.0,779.0,725.0,779.0,18203.0,13810622.0
2021-04-28,800.0,804.0,760.0,782.0,25837.0,20283069.0
