date,open,high,low,close,volume,amount
2021-09-20,688.5,701.7,616.0,618.0,47368.0,30025350.5
2021-09-21,618.0,630.0,580.0,618.0,39957.0,24309538.0
2021-09-22,625.0,645.0,608.0,630.0,27893.0,17446654.7
2021-09-23,642.0,642.0,610.0,612.0,29409.0,18231243.0
2021-09-26,612.0,615.0,590.0,592.0,21174.0,12569677.7
2021-09-27,592.0,600.0,563.5,564.0,22185.0,12682941.0
2021-09-28,564.0,564.0,534.0,535.0,22765.0,12389938.5
2021-09-29,540.0,552.0,522.0,548.0,14159.0,7573694.5
2021-09-30,540.0,555.0,535.0,535.0,16819.0,9114803.0
2021-10-03,525.0,533.0,515.0,515.0,13889.0,7213754.5
2021-10-04,505.0,522.0,498.0,507.0,11806.0,6013918.0
2021-10-05,500.0,525.0,500.0,507.0,10969.0,5625642.7
2021-10-06,505.0,529.9,498.0,519.0,10042.0,5163784.5
2021-10-10,510.0,530.0,510.0,513.0,14570.0,7594265.1
2021-10-11,518.0,555.0,510.0,553.4,13470.0,7235391.4
2021-10-17,545.0,550.0,536.0,548.0,5022.0,2724310.0
2021-10-18,540.0,550.0,530.0,537.0,8684.0,4650993.5
2021-10-19,526.3,526.3,510.0,516.0,11334.0,5840882.5
2021-10-20,510.0,538.5,510.0,520.0,12141.0,6311282.0
2021-10-21,530.0,530.1,511.0,514.0,10829.0,5584919.0
2021-10-24,510.0,515.0,510.0,510.0,10055.0,5144677.5
2021-10-25,510.0,528.0,510.0,528.0,11378.0,5941013.2
2021-10-26,528.0,554.8,528.0,551.0,14381.0,7820721.0
2021-10-27,540.0,602.0,540.0,570.0,24056.0,13576476.0
2021-10-28,570.0,570.0,550.0,559.0,14170.0,7941178.0
2021-10-31,555.0,575.5,554.0,575.0,14710.0,8283459.0
2021-11-01,580.0,584.0,562.0,568.0,11316.0,6466918.0
2021-11-02,560.0,579.0,557.0,571.0,13358.0,7580482.2
2021-11-03,577.4,585.0,570.0,575.0,14706.0,8493646.5
2021-11-08,575.0,576.0,566.0,570.0,11528.0,6564844.0
2021-11-09,558.6,565.0,537.1,543.1,17574.0,9658255.9
2021-11-11,543.0,543.0,520.1,529.5,10660.0,5619624.0
2021-11-14,520.0,530.0,512.0,522.0,14682.0,7635208.9
2021-11-15,511.7,530.0,511.7,528.0,16665.0,8742282.5
2021-11-16,538.5,560.0,522.1,555.0,25677.0,14046768.0
2021-11-17,545.0,565.0,545.0,546.1,18903.0,10468773.0
2021-11-18,545.0,555.0,534.9,543.0,15448.0,8330200.1
2021-11-21,535.0,538.0,527.0,528.1,12375.0,6571597.0
2021-11-22,521.0,535.0,520.0,529.0,13136.0,6941127.6
2021-11-23,521.0,529.0,518.2,520.0,11153.0,5816655.0
2021-11-24,511.0,523.0,506.2,520.0,15039.0,7766996.9
2021-11-25,510.0,520.0,510.0,519.0,9434.0,4872292.0
2021-11-28,508.7,520.0,495.0,507.0,16345.0,8237416.0
2021-11-29,497.0,510.0,497.0,500.0,12780.0,6413871.0
2021-11-30,490.2,505.0,490.2,500.1,8776.0,4377601.0
2021-12-01,500.1,510.0,498.0,503.0,6502.0,3259279.0
2021-12-02,510.0,510.0,495.0,495.1,7894.0,3928085.5
2021-12-05,496.0,500.0,472.0,475.0,13407.0,6435181.0
2021-12-06,475.0,481.0,460.0,478.0,12284.0,5757192.5
